pid,product_name,brand,product_url,retail_price,discounted_price,product_rating
SNDE85CH2PN36BUZ,Dolphin Miles Women Wedges,,http://www.flipkart.com/dolphin-miles-women-wedges/p/itme85chq4z4qrvz?pid=SNDE85CH2PN36BUZ,525,219,5.0
SNDE85CH2PN36BUZ,Dolphin Miles Women Wedges,,http://www.flipkart.com/dolphin-miles-women-wedges/p/itme85chq4z4qrvz?pid=SNDE85CH2PN36BUZ,525,219,5.0
SNDE9GRQJQQ76ESA,Dolphin Miles Women Wedges,,http://www.flipkart.com/dolphin-miles-women-wedges/p/itme9grptjys4xrh?pid=SNDE9GRQJQQ76ESA,525,219,5.0
WATDGNATHYWSGVE8,Maxima 23237PPGN FIBER COLLECTION Analog Watch  - For Men,,http://www.flipkart.com/maxima-23237ppgn-fiber-collection-analog-watch-men/p/itmdgnavzpvyafzg?pid=WATDGNATHYWSGVE8,525,219,5.0
WATDPV5TVAPYZCJA,"Kool Kidz DMK-001-PR 01 Analog Watch  - For Boys, Girls",,http://www.flipkart.com/kool-kidz-dmk-001-pr-01-analog-watch-boys-girls/p/itmdqyqypgha2ffe?pid=WATDPV5TVAPYZCJA,525,219,5.0
BTWDYH2TV374GBWR,Bombay Dyeing Cotton Bath Towel,Bombay Dyeing,http://www.flipkart.com/bombay-dyeing-cotton-bath-towel/p/itmdyh2t53zqrzyw?pid=BTWDYH2TV374GBWR,549,219,5.0
WATD9H76VEZPMPCK,"Only Kidz 20238 Barbie Analog Watch  - For Boys, Girls",,http://www.flipkart.com/only-kidz-20238-barbie-analog-watch-boys-girls/p/itmd9gjfhe2z3pj7?pid=WATD9H76VEZPMPCK,549,175,5.0
WATD9H76VEZPMPCK,"Only Kidz 20238 Barbie Analog Watch  - For Boys, Girls",,http://www.flipkart.com/only-kidz-20238-barbie-analog-watch-boys-girls/p/itmd9gjfhe2z3pj7?pid=WATD9H76VEZPMPCK,549,175,5.0
WATD9H76VEZPMPCK,"Only Kidz 20238 Barbie Analog Watch  - For Boys, Girls",,http://www.flipkart.com/only-kidz-20238-barbie-analog-watch-boys-girls/p/itmd9gjfhe2z3pj7?pid=WATD9H76VEZPMPCK,549,175,5.0
WATD9H76VEZPMPCK,"Only Kidz 20238 Barbie Analog Watch  - For Boys, Girls",,http://www.flipkart.com/only-kidz-20238-barbie-analog-watch-boys-girls/p/itmd9gjfhe2z3pj7?pid=WATD9H76VEZPMPCK,549,175,5.0
